method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
KS_sce_unscaled_original,Manual_sce_scaled_original,,0.820623163316303,0.503838475163876,0.574206415727183,0.652503317724887,0.806038113691567
Manual_sce_scaled_original,Manual_sce_scaled_original,1,1,1,1,1,1
Manual_sce_unscaled_original,Manual_sce_scaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_scaled_original,,0.706711286440185,0.495253506681444,0.501684856303133,0.663715954497958,0.794957790058902
SCINA_sce_unscaled_original,Manual_sce_scaled_original,,0.512016655419194,0.337265876813012,0.296162041233626,0.482053200688226,0.70640577182456
ACDC_sce_scaled_original,Manual_sce_unscaled_original,0.657744952598136,0.30977884818517,0.187104792462553,0.143176003939146,0.285236374898188,0.574544260976241
CyCadas_sce_scaled_original,Manual_sce_unscaled_original,0.705527453694641,0.684173259636278,0.391540310560816,0.453931096242368,0.662029151497158,0.759666827478704
CyCadas_sce_unscaled_original,Manual_sce_unscaled_original,0.705527453694641,0.684173259636278,0.391540310560816,0.453931096242368,0.662029151497158,0.759666827478704
ImmmCellTyper_sce_scaled_original,Manual_sce_unscaled_original,,0.538905124513759,0.261916630260245,0.206623045155256,0.28416806109264,0.615214653437973
ImmmCellTyper_sce_unscaled_original,Manual_sce_unscaled_original,,0.581963694287422,0.325786311298946,0.236609300757213,0.309449275050706,0.633970095922373
KS_sce_scaled_original,Manual_sce_unscaled_original,,0.817841636349676,0.444116136233725,0.547759954731381,0.628951732098668,0.794588165339805
KS_sce_unscaled_original,Manual_sce_unscaled_original,,0.820623163316303,0.503838475163876,0.574206415727183,0.652503317724887,0.806038113691567
Manual_sce_scaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
Manual_sce_unscaled_original,Manual_sce_unscaled_original,1,1,1,1,1,1
SCINA_sce_scaled_original,Manual_sce_unscaled_original,,0.706711286440185,0.495253506681444,0.501684856303133,0.663715954497958,0.794957790058902
SCINA_sce_unscaled_original,Manual_sce_unscaled_original,,0.512016655419194,0.337265876813012,0.296162041233626,0.482053200688226,0.70640577182456
ACDC_sce_scaled_original,SCINA_sce_scaled_original,0.555362438321361,0.202688445135073,0.187045112588516,0.0747987529706448,0.251916936995678,0.537597051191154
CyCadas_sce_scaled_original,SCINA_sce_scaled_original,0.636190933587666,0.542067731254194,0.471377091140169,0.460645738623729,0.811955966416734,0.753416310268827
CyCadas_sce_unscaled_original,SCINA_sce_scaled_original,0.636190933587666,0.542067731254194,0.471377091140169,0.460645738623729,0.811955966416734,0.753416310268827
ImmmCellTyper_sce_scaled_original,SCINA_sce_scaled_original,,0.447727107242259,0.133105546121696,0.0547232024264984,0.130156593765881,0.527618556644987
ImmmCellTyper_sce_unscaled_original,SCINA_sce_scaled_original,,0.460881833019641,0.161038448895588,0.0543078009333991,0.172488603913975,0.527391271816284
