method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
CyCadas_sce_scaled_original,SCINA_sce_unscaled_original,0.804198887935272,0.392551922550831,0.495467022740172,0.317097226902276,0.72002328568785,0.838963949468174
CyCadas_sce_unscaled_original,SCINA_sce_unscaled_original,0.804198887935272,0.392551922550831,0.495467022740172,0.317097226902276,0.72002328568785,0.838963949468174
ImmmCellTyper_sce_scaled_original,SCINA_sce_unscaled_original,0.835586116673412,0.439418977283545,0.682795961524339,0.0605865020440433,0.831876989791002,0.88889365047899
ImmmCellTyper_sce_unscaled_original,SCINA_sce_unscaled_original,0.804304958758891,0.521026331195574,0.567289682942355,0.0419615995269392,0.559596544392972,0.755856912227516
KS_sce_scaled_original,SCINA_sce_unscaled_original,0.83021095738739,0.478595790286276,0.659175823353162,0.407210207593441,0.680234116621809,0.834735384065079
KS_sce_unscaled_original,SCINA_sce_unscaled_original,0.828308703683127,0.472097476104097,0.652676420680607,0.406975184670406,0.679925635590974,0.831644470632419
Manual_sce_scaled_original,SCINA_sce_unscaled_original,0.748804775761081,0.512016655419194,0.429304183319223,0.296162041233626,0.643125421745723,0.8017402529625
Manual_sce_unscaled_original,SCINA_sce_unscaled_original,0.748804775761081,0.512016655419194,0.429304183319223,0.296162041233626,0.643125421745723,0.8017402529625
SCINA_sce_scaled_original,SCINA_sce_unscaled_original,0.803224448247441,0.636717225391779,0.625000623042295,0.673332174270147,0.729096585935187,0.853019981938532
SCINA_sce_unscaled_original,SCINA_sce_unscaled_original,1,1,1,1,1,1
